Step,Value
43,0.000673795
46,0.000673795
72,0.000673795
95,0.000673795
159,0.000708252
168,0.000708252
230,0.000708252
235,0.000708252
256,0.000708252
274,0.000708252
309,0.000744286
311,0.000744286
319,0.000744286
422,0.000744286
461,0.000781958
475,0.000781958
537,0.000781958
564,0.000781958
580,0.000781958
587,0.000781958
635,0.00082133
648,0.00082133
662,0.00082133
672,0.00082133
715,0.00082133
723,0.00082133
772,0.00086247
786,0.00086247
788,0.00086247
803,0.00086247
809,0.00086247
837,0.00086247
946,0.000905444
972,0.000905444
973,0.000905444
979,0.000905444
1006,0.000905444
1015,0.000905444
1064,0.000950322
1067,0.000950322
1094,0.000950322
1105,0.000950322
1162,0.000950322
1181,0.000950322
1262,0.000997174
1317,0.000997174
1320,0.000997174
1334,0.000997174
1338,0.000997174
1386,0.001046075
1393,0.001046075
1415,0.001046075
1427,0.001046075
1437,0.001046075
1467,0.001046075
1492,0.001046075
1524,0.0010971
1553,0.0010971
1569,0.0010971
1585,0.0010971
1606,0.0010971
1641,0.0010971
1692,0.001150326
1710,0.001150326
1719,0.001150326
1733,0.001150326
1735,0.001150326
1738,0.001150326
1782,0.001150326
1827,0.001205832
1845,0.001205832
1854,0.001205832
1867,0.001205832
1870,0.001205832
1878,0.001205832
1918,0.001205832
1935,0.001205832
1948,0.001205832
2002,0.001263702
2037,0.001263702
2078,0.001263702
2097,0.001263702
2188,0.001324017
2200,0.001324017
2212,0.001324017
2232,0.001324017
2237,0.001324017
2238,0.001324017
2258,0.001386864
2263,0.001386864
2308,0.001386864
2320,0.001386864
2355,0.001386864
2390,0.001386864
2391,0.001386864
2393,0.001386864
2437,0.001452331
2454,0.001452331
2456,0.001452331
2461,0.001452331
2486,0.001452331
2487,0.001452331
2497,0.001452331
2499,0.001452331
2504,0.001452331
2533,0.001452331
2548,0.001452331
2554,0.001520509
2686,0.001520509
2741,0.001591489
2755,0.001591489
2790,0.001591489
2897,0.001665366
2968,0.001665366
3012,0.001742237
3039,0.001742237
3042,0.001742237
3100,0.001742237
3162,0.001822201
3197,0.001822201
3231,0.001822201
3245,0.001822201
3247,0.001822201
3248,0.001822201
3306,0.001905359
3377,0.001905359
3409,0.001905359
3450,0.001905359
3481,0.001991813
3601,0.002081669
3619,0.002081669
3621,0.002081669
3671,0.002081669
3727,0.002081669
3742,0.002081669
3794,0.002175036
3815,0.002175036
3820,0.002175036
3822,0.002175036
3865,0.002175036
3929,0.002272022
3957,0.002272022
3985,0.002272022
4037,0.002272022
4099,0.002372739
4110,0.002372739
4183,0.002372739
4197,0.002372739
4203,0.002477302
4228,0.002477302
4233,0.002477302
4264,0.002477302
4305,0.002477302
4318,0.002477302
4320,0.002477302
4401,0.002585826
4434,0.002585826
4493,0.002585826
4510,0.00269843
4531,0.00269843
4629,0.00269843
4665,0.002815234
4669,0.002815234
4677,0.002815234
4751,0.002815234
4789,0.002815234
4801,0.002936358
4803,0.002936358
4841,0.002936358
4853,0.002936358
4895,0.002936358
4963,0.003061929
4972,0.003061929
4975,0.003061929
5051,0.003061929
5053,0.003061929
5107,0.003192072
5135,0.003192072
5201,0.003192072
5240,0.003192072
5330,0.003326914
5346,0.003326914
5360,0.003326914
5421,0.003466586
5443,0.003466586
5516,0.003466586
5518,0.003466586
5550,0.003466586
5588,0.003611218
5661,0.003611218
5665,0.003611218
5680,0.003611218
5721,0.003760945
5724,0.003760945
5809,0.003760945
5826,0.003760945
5829,0.003760945
5863,0.0039159
5865,0.0039159
5872,0.0039159
5908,0.0039159
5929,0.0039159
5953,0.0039159
5964,0.0039159
5991,0.0039159
6011,0.004076221
6016,0.004076221
6122,0.004076221
6132,0.004076221
6182,0.004242044
6201,0.004242044
6214,0.004242044
6220,0.004242044
6233,0.004242044
6290,0.004242044
6313,0.00441351
6318,0.00441351
6342,0.00441351
6364,0.00441351
6377,0.00441351
6401,0.00441351
6497,0.004590758
6521,0.004590758
6575,0.004590758
6585,0.004590758
6604,0.004773932
6658,0.004773932
6697,0.004773932
6700,0.004773932
6712,0.004773932
6739,0.004773932
6743,0.004773932
6847,0.004963173
6855,0.004963173
6870,0.004963173
6967,0.005158626
6993,0.005158626
7015,0.005158626
7107,0.005360435
7115,0.005360435
7156,0.005360435
7217,0.005568747
7248,0.005568747
7312,0.005568747
7330,0.005568747
7340,0.005568747
7341,0.005568747
7360,0.005783709
7383,0.005783709
7402,0.005783709
7451,0.005783709
7461,0.005783709
7464,0.005783709
7479,0.005783709
7512,0.006005467
7610,0.006005467
7645,0.006005467
7688,0.006234169
7694,0.006234169
7761,0.006234169
7781,0.006234169
7789,0.006234169
7799,0.006234169
7834,0.006469962
7901,0.006469962
7933,0.006469962
7992,0.006712995
8027,0.006712995
8038,0.006712995
8050,0.006712995
8067,0.006712995
8181,0.006963416
8216,0.006963416
8222,0.006963416
8291,0.007221374
8335,0.007221374
8341,0.007221374
8364,0.007221374
8369,0.007221374
8378,0.007221374
8468,0.007487015
8471,0.007487015
8499,0.007487015
8509,0.007487015
8567,0.007760488
8602,0.007760488
8635,0.007760488
8636,0.007760488
8691,0.007760488
8696,0.007760488
8820,0.008041939
8823,0.008041939
8879,0.008331514
8886,0.008331514
8905,0.008331514
8908,0.008331514
8929,0.008331514
8936,0.008331514
8959,0.008331514
8976,0.008331514
8994,0.008331514
9000,0.008331514
9010,0.008629358
9056,0.008629358
9064,0.008629358
9227,0.008935617
9234,0.008935617
9261,0.008935617
9308,0.009250431
9317,0.009250431
9349,0.009250431
9370,0.009250431
9413,0.009250431
9416,0.009250431
9436,0.009250431
9443,0.009250431
9469,0.009573944
9539,0.009573944
9548,0.009573944
9555,0.009573944
9568,0.009573944
9590,0.009573944
9628,0.009906293
9658,0.009906293
9681,0.009906293
9699,0.009906293
9769,0.010247617
9841,0.010247617
9844,0.010247617
9884,0.010247617
9908,0.010598051
9973,0.010598051
10051,0.01095773
10056,0.01095773
10059,0.01095773
10085,0.01095773
10129,0.01095773
10145,0.01095773
10169,0.01095773
10186,0.01095773
10257,0.011326784
10277,0.011326784
10284,0.011326784
10397,0.011705341
10400,0.011705341
10421,0.011705341
10480,0.011705341
10490,0.011705341
10494,0.011705341
10523,0.012093525
10555,0.012093525
10556,0.012093525
10608,0.012093525
10625,0.012093525
10639,0.012093525
10655,0.01249146
10672,0.01249146
10712,0.01249146
10758,0.01249146
10759,0.01249146
10781,0.01249146
10788,0.01249146
10816,0.012899263
10826,0.012899263
10831,0.012899263
10842,0.012899263
10851,0.012899263
10865,0.012899263
10903,0.012899263
10906,0.012899263
10940,0.012899263
10944,0.012899263
10967,0.01331705
10973,0.01331705
10975,0.01331705
11015,0.01331705
11021,0.01331705
11034,0.01331705
11039,0.01331705
11103,0.013744933
11122,0.013744933
11131,0.013744933
11176,0.013744933
11199,0.013744933
11201,0.013744933
11202,0.013744933
11261,0.014183016
11273,0.014183016
11420,0.014631405
11473,0.014631405
11493,0.014631405
11524,0.014631405
11533,0.014631405
11550,0.014631405
11558,0.015090195
11567,0.015090195
11598,0.015090195
11637,0.015090195
11649,0.015090195
11672,0.015090195
11686,0.015090195
11688,0.015090195
11760,0.015559481
11874,0.016039351
11949,0.016039351
11970,0.016039351
11975,0.016039351
11989,0.016039351
12004,0.016529888
12011,0.016529888
12030,0.016529888
12042,0.016529888
12139,0.016529888
12165,0.01703117
12169,0.01703117
12185,0.01703117
12227,0.01703117
12291,0.01703117
12294,0.01703117
12310,0.017543266
12397,0.017543266
12406,0.017543266
12437,0.017543266
12459,0.018066244
12554,0.018066244
12626,0.01860016
12672,0.01860016
12700,0.01860016
12759,0.01914507
12775,0.01914507
12806,0.01914507
12835,0.01914507
12865,0.01914507
12878,0.01914507
12897,0.01914507
12940,0.019701015
12960,0.019701015
13018,0.019701015
13035,0.019701015
13062,0.020268038
13083,0.020268038
13095,0.020268038
13110,0.020268038
13114,0.020268038
13131,0.020268038
13167,0.020268038
13207,0.020846169
13208,0.020846169
13212,0.020846169
13240,0.020846169
13314,0.020846169
13350,0.020846169
13403,0.02143543
13407,0.02143543
13427,0.02143543
13476,0.02143543
13505,0.022035839
13547,0.022035839
13598,0.022035839
13613,0.022035839
13621,0.022035839
13627,0.022035839
13680,0.022647403
13683,0.022647403
13723,0.022647403
13748,0.022647403
13777,0.022647403
13811,0.023270121
13846,0.023270121
13869,0.023270121
13885,0.023270121
13938,0.023270121
13958,0.023903985
13961,0.023903985
13971,0.023903985
13977,0.023903985
13999,0.023903985
14081,0.023903985
14222,0.024548978
14228,0.024548978
14288,0.02520507
14289,0.02520507
14295,0.02520507
14304,0.02520507
14321,0.02520507
14333,0.02520507
14339,0.02520507
14398,0.02520507
14448,0.025872231
14495,0.025872231
14531,0.025872231
14555,0.02655041
14558,0.02655041
14633,0.02655041
14639,0.02655041
14669,0.02655041
14678,0.02655041
14682,0.02655041
14688,0.02655041
14747,0.027239555
14780,0.027239555
14781,0.027239555
14789,0.027239555
14793,0.027239555
14810,0.027239555
14874,0.027939605
14893,0.027939605
14926,0.027939605
14927,0.027939605
14951,0.027939605
15028,0.028650479
15091,0.028650479
15133,0.028650479
15137,0.028650479
15181,0.029372098
15200,0.029372098
15267,0.029372098
15325,0.030104365
15342,0.030104365
15348,0.030104365
15429,0.030104365
15457,0.030847175
15474,0.030847175
15476,0.030847175
15508,0.030847175
15539,0.030847175
15598,0.030847175
15741,0.031600412
15765,0.032363951
15774,0.032363951
15780,0.032363951
15826,0.032363951
15829,0.032363951
15848,0.032363951
15867,0.032363951
15980,0.033137653
15994,0.033137653
16057,0.033921368
16096,0.033921368
16117,0.033921368
16176,0.033921368
16189,0.033921368
16199,0.033921368
16203,0.034714941
16250,0.034714941
16322,0.034714941
16344,0.034714941
16361,0.035518199
16407,0.035518199
16441,0.035518199
16506,0.036330957
16560,0.036330957
16586,0.036330957
16591,0.036330957
16662,0.037153024
16666,0.037153024
16698,0.037153024
16747,0.037153024
16809,0.037984196
16810,0.037984196
16835,0.037984196
16844,0.037984196
16858,0.037984196
16900,0.037984196
16925,0.037984196
17067,0.038824257
17098,0.038824257
17132,0.039672974
17155,0.039672974
17193,0.039672974
17203,0.039672974
17240,0.039672974
17248,0.039672974
17262,0.040530112
17273,0.040530112
17291,0.040530112
17293,0.040530112
17316,0.040530112
17317,0.040530112
17318,0.040530112
17321,0.040530112
17340,0.040530112
17375,0.040530112
17392,0.040530112
17406,0.041395418
17427,0.041395418
17445,0.041395418
17455,0.041395418
17504,0.041395418
17544,0.041395418
17558,0.04226863
17564,0.04226863
17578,0.04226863
17587,0.04226863
17594,0.04226863
17595,0.04226863
17599,0.04226863
17624,0.04226863
17634,0.04226863
17654,0.04226863
17668,0.04226863
17704,0.043149471
17723,0.043149471
17772,0.043149471
17773,0.043149471
17805,0.043149471
17843,0.043149471
17954,0.044037659
17963,0.044037659
17979,0.044037659
17982,0.044037659
17991,0.044037659
18019,0.044932898
18053,0.044932898
18054,0.044932898
18066,0.044932898
18105,0.044932898
18130,0.044932898
18147,0.044932898
18191,0.045834873
18215,0.045834873
18237,0.045834873
18265,0.045834873
18319,0.046743266
18363,0.046743266
18452,0.047657747
18453,0.047657747
18540,0.047657747
18548,0.047657747
18593,0.047657747
18653,0.048577972
18714,0.048577972
18721,0.048577972
18750,0.048577972
18787,0.049503591
18804,0.049503591
18846,0.049503591
18894,0.049503591
18934,0.050434235
18959,0.050434235
18978,0.050434235
18983,0.050434235
19006,0.050434235
19028,0.050434235
19049,0.050434235
19096,0.051369529
19117,0.051369529
19154,0.051369529
19170,0.051369529
19228,0.052309092
19272,0.052309092
19276,0.052309092
19301,0.052309092
19486,0.053252522
19501,0.05419942
19504,0.05419942
19526,0.05419942
19532,0.05419942
19555,0.05419942
19580,0.05419942
19595,0.05419942
19635,0.05419942
19641,0.05419942
19655,0.055149361
19666,0.055149361
19675,0.055149361
19721,0.055149361
19728,0.055149361
19732,0.055149361
19738,0.055149361
19797,0.055149361
19824,0.056101929
19847,0.056101929
19917,0.056101929
19939,0.056101929
19972,0.05705668
19980,0.05705668
19989,0.05705668
19996,0.05705668
20036,0.05705668
20049,0.05705668
20054,0.05705668
20060,0.05705668
20063,0.05705668
20139,0.058013178
20140,0.058013178
20142,0.058013178
20184,0.058013178
20187,0.058013178
20218,0.058013178
20245,0.058013178
20248,0.058013178
20253,0.058970965
20309,0.058970965
20324,0.058970965
20333,0.058970965
20335,0.058970965
20374,0.058970965
20384,0.058970965
20398,0.058970965
20441,0.059929579
20463,0.059929579
20486,0.059929579
20527,0.059929579
20540,0.059929579
20541,0.059929579
20561,0.060888551
20563,0.060888551
20568,0.060888551
20579,0.060888551
20689,0.060888551
20690,0.060888551
20707,0.061847407
20711,0.061847407
20748,0.061847407
20779,0.061847407
20780,0.061847407
20783,0.061847407
20784,0.061847407
20823,0.061847407
20832,0.061847407
20856,0.06280566
20889,0.06280566
20913,0.06280566
20914,0.06280566
20950,0.06280566
20988,0.06280566
21028,0.063762814
21036,0.063762814
21037,0.063762814
21068,0.063762814
21077,0.063762814
21081,0.063762814
21145,0.063762814
21210,0.064718373
21233,0.064718373
21249,0.064718373
21317,0.065671839
21320,0.065671839
21325,0.065671839
21392,0.065671839
21410,0.065671839
21485,0.066622689
21524,0.066622689
21525,0.066622689
21601,0.067570411
21612,0.067570411
21682,0.067570411
21695,0.067570411
21724,0.067570411
21725,0.067570411
21766,0.068514489
21790,0.068514489
21796,0.068514489
21816,0.068514489
21822,0.068514489
21843,0.068514489
21849,0.068514489
21909,0.069454387
21968,0.069454387
22000,0.069454387
22007,0.069454387
22091,0.070389576
22221,0.071319528
22246,0.071319528
22259,0.071319528
22286,0.071319528
22293,0.071319528
22304,0.071319528
22309,0.071319528
22316,0.071319528
22317,0.071319528
22331,0.071319528
22359,0.072243705
22428,0.072243705
22431,0.072243705
22473,0.072243705
22508,0.073161565
22545,0.073161565
22636,0.073161565
22638,0.073161565
22652,0.074072562
22759,0.074072562
22766,0.074072562
22778,0.074072562
22827,0.074976161
22829,0.074976161
22840,0.074976161
22841,0.074976161
22846,0.074976161
22931,0.074976161
22934,0.074976161
22935,0.074976161
23081,0.07587181
23085,0.07587181
23086,0.07587181
23103,0.076758966
23118,0.076758966
23128,0.076758966
23139,0.076758966
23144,0.076758966
23149,0.076758966
23153,0.076758966
23159,0.076758966
23183,0.076758966
23193,0.076758966
23219,0.076758966
23221,0.076758966
23230,0.076758966
23264,0.077637084
23287,0.077637084
23321,0.077637084
23338,0.077637084
23362,0.077637084
23381,0.077637084
23395,0.077637084
23428,0.07850562
23541,0.07850562
23590,0.079364024
23651,0.079364024
23671,0.079364024
23682,0.079364024
23702,0.080211766
23762,0.080211766
23775,0.080211766
23812,0.080211766
23832,0.080211766
23843,0.080211766
23929,0.081048295
23939,0.081048295
24026,0.081873074
24080,0.081873074
24117,0.081873074
24119,0.081873074
24148,0.081873074
24187,0.082685575
24235,0.082685575
24283,0.082685575
24285,0.082685575
24293,0.082685575
24323,0.083485268
24346,0.083485268
24360,0.083485268
24417,0.083485268
24513,0.084271625
24558,0.084271625
24562,0.084271625
24622,0.085044123
24668,0.085044123
24698,0.085044123
24720,0.085044123
24728,0.085044123
24791,0.08580225
24850,0.08580225
24880,0.08580225
24896,0.08580225
24902,0.08654549
24935,0.08654549
24964,0.08654549
24978,0.08654549
25009,0.08654549
25048,0.08654549
25134,0.087273352
25207,0.087985337
25232,0.087985337
25245,0.087985337
25252,0.087985337
25254,0.087985337
25333,0.087985337
25392,0.08868096
25506,0.089359738
25521,0.089359738
25573,0.089359738
25600,0.089359738
25662,0.0900212
25687,0.0900212
25748,0.0900212
25776,0.0900212
25781,0.0900212
25813,0.090664893
25848,0.090664893
25864,0.090664893
25881,0.090664893
25922,0.090664893
25974,0.091290362
26016,0.091290362
26030,0.091290362
26046,0.091290362
26067,0.091290362
26076,0.091290362
26092,0.091290362
26095,0.091290362
26155,0.091897167
26156,0.091897167
26170,0.091897167
26280,0.092484884
26293,0.092484884
26304,0.092484884
26380,0.092484884
26394,0.092484884
26404,0.093053088
26410,0.093053088
26471,0.093053088
26513,0.093053088
26671,0.093601383
26709,0.094129376
26755,0.094129376
26757,0.094129376
26797,0.094129376
26798,0.094129376
26799,0.094129376
26815,0.094129376
26828,0.094129376
26830,0.094129376
26929,0.094636686
27068,0.095122941
27079,0.095122941
27143,0.095122941
27149,0.095122941
27155,0.095587797
27159,0.095587797
27160,0.095587797
27235,0.095587797
27275,0.095587797
27330,0.096030913
27439,0.096030913
27450,0.096030913
27458,0.096451975
27506,0.096451975
27530,0.096451975
27570,0.096451975
27573,0.096451975
27604,0.096850656
27614,0.096850656
27621,0.096850656
27635,0.096850656
27639,0.096850656
27696,0.096850656
27716,0.096850656
27719,0.096850656
27740,0.096850656
27826,0.097226679
27917,0.09757977
27919,0.09757977
27951,0.09757977
27969,0.09757977
27992,0.09757977
28106,0.097909659
28252,0.098216102
28278,0.098216102
28286,0.098216102
28322,0.098216102
28377,0.098498881
28439,0.098498881
28452,0.098498881
28461,0.098498881
28544,0.098757781
28573,0.098757781
28612,0.098757781
28677,0.098992608
28892,0.099203192
28971,0.099389374
28997,0.099389374
29019,0.099389374
29038,0.099389374
29058,0.099389374
29063,0.099389374
29079,0.099389374
29091,0.099389374
29107,0.099551015
29134,0.099551015
29202,0.099551015
29236,0.099551015
29251,0.099687986
29262,0.099687986
29264,0.099687986
29272,0.099687986
29277,0.099687986
29310,0.099687986
29367,0.099687986
29439,0.099800199
29472,0.099800199
29479,0.099800199
29488,0.099800199
29538,0.099800199
29541,0.099800199
29562,0.099887565
29574,0.099887565
29593,0.099887565
29612,0.099887565
29748,0.099950016
29829,0.099950016
29830,0.099950016
29834,0.099950016
29864,0.099987499
29878,0.099987499
29883,0.099987499
29896,0.099987499
29929,0.099987499
30000,0.099987499
