Step,Value
43,0.63876009
46,0.628259063
72,0.4537341
95,0.603756785
159,0.424942821
168,0.443512738
230,0.446957111
235,0.346855015
256,0.420058876
274,0.416747153
309,0.316994697
311,0.324198067
319,0.250548542
422,0.265636027
461,0.173049167
475,0.336397409
537,0.222517848
564,0.255986333
580,0.188292041
587,0.224653587
635,0.181298777
648,0.214350924
662,0.149849445
672,0.154721171
715,0.181415036
723,0.154404148
772,0.148127899
786,0.168153182
788,0.212043822
803,0.175451919
809,0.157894075
837,0.162926495
946,0.170230895
972,0.144330248
973,0.150357127
979,0.171247989
1006,0.1528292
1015,0.142828628
1064,0.170089468
1067,0.171517283
1094,0.145981267
1105,0.160306767
1162,0.138242766
1181,0.173231423
1262,0.137619197
1317,0.139068663
1320,0.148301303
1334,0.130513787
1338,0.154112607
1386,0.13777028
1393,0.140947163
1415,0.151230231
1427,0.206409365
1437,0.147579178
1467,0.142743826
1492,0.142456815
1524,0.135349333
1553,0.146355852
1569,0.140308022
1585,0.129340664
1606,0.145586193
1641,0.136029199
1692,0.126497388
1710,0.133289516
1719,0.140256971
1733,0.128322601
1735,0.130120039
1738,0.129082531
1782,0.145923808
1827,0.184820399
1845,0.135660142
1854,0.124588907
1867,0.14354898
1870,0.147298381
1878,0.170549452
1918,0.149366364
1935,0.125540465
1948,0.135612726
2002,0.13102141
2037,0.15462622
2078,0.133774906
2097,0.134593785
2188,0.147712588
2200,0.133099839
2212,0.132215425
2232,0.141355127
2237,0.129870325
2238,0.142351925
2258,0.135813937
2263,0.117626429
2308,0.133311689
2320,0.136827514
2355,0.137835026
2390,0.137259543
2391,0.12249618
2393,0.131173745
2437,0.139226243
2454,0.124137275
2456,0.123043552
2461,0.126264676
2486,0.131300017
2487,0.128309324
2497,0.136134595
2499,0.138768479
2504,0.126257673
2533,0.124420546
2548,0.131279036
2554,0.123984084
2686,0.1336817
2741,0.131950334
2755,0.125639796
2790,0.129012302
2897,0.143586174
2968,0.134183496
3012,0.127702966
3039,0.132006481
3042,0.123308234
3100,0.127395988
3162,0.135888502
3197,0.146380171
3231,0.136799783
